talk log,,,,
time,talk_no,res,checkNo,reason
20192310:26:00,@no1,request,init_data,
20192310:26:00,@no1,response,gas直す、qiita、に取り組んでいますか？,
20192310:37:00,@no1,request,違う,
20192310:38:00,@no1,response,ちがう、ですね。何をしていますか？,
20192310:47:00,@no1,request,違う,
20192310:48:00,@no1,response,うまくききとれませんでした,
20192310:49:00,@no1,request,違う,
20192310:50:00,@no1,response,gas直す、qiita、に取り組んでいますか？,
20192311:09:00,@no1,request,はい,
20192311:10:00,@no1,response,はい、ですね。記録します。,
20192312:12:00,@no1,request,init_data,
20192312:12:00,@no1,response,gas直す、qiita、に取り組んでいますか？,
20192312:23:00,@no1,request,深海のオアシス,
20192312:23:00,@no1,response,うまくききとれませんでした,
20192312:25:00,@no1,request,深海のオアシス,
20192312:25:00,@no1,response,gas直す、qiita、に取り組んでいますか？,
20192315:42:00,@no1,request,init_data,
20192315:42:00,@no1,response,gas直す、qiita、に取り組んでいますか？,
20192315:51:00,@no1,request,はい,
20192315:52:00,@no2,response,はい、ですね。記録します,
20192315:52:00,@no2,request,はい,
20192315:53:00,@no2,response,えらい！,
20192321:14:00,@no1,request,init_data,
20192321:14:00,@no1,response,gas直す、qiita、に取り組んでいますか？,
20192404:14:00,@no1,request,init_data,
20192404:15:00,@no1,response,予定タイトルが見つかりませんでした。、に取り組んでいますか？,
20192424:24:00,@no1,request,init_data,
20192424:25:00,@no1,response,予定タイトルが見つかりませんでした。、に取り組んでいますか？,
20192427:13:00,@no1,request,init_data,
20192427:13:00,@no1,response,レシート計算、に取り組んでいますか？,
20192427:22:00,@no1,request,はい,
20192427:23:00,@no2,response,はい、ですね。記録します,
20192427:24:00,@no2,request,はい,
20192427:25:00,@no2,response,えらい！,
20192427:32:00,@no1,request,init_data,
20192427:33:00,@no1,response,レシート計算、に取り組んでいますか？,
20192427:41:00,@no1,request,違う,
20192427:42:00,@no1,response,ちがう、ですね。何をしていますか？,
20192429:07:00,@no1,request,音楽聞いてる,
20192429:07:00,@no1,response,音楽聞いてるですね。なぜですか？,
20192436:00:00,@no1,request,init_data,
20192436:01:00,@no1,response,レシート計算、に取り組んでいますか？,
20192461:03:00,@no1,request,init_data,
20192461:04:00,@no1,response,gas直す、qiita、に取り組んでいますか？,
20192486:04:00,@no1,request,init_data,
20192486:05:00,@no1,response,gas直す、qiita、に取り組んでいますか？,
20192622:25:00,@no1,request,init_data,
20192622:26:00,@no1,response,gas直す、qiita、に取り組んでいますか？,
20192622:48:00,@no1,request,違う,
20192622:49:00,@no1,response,ちがう、ですね。何をしていますか？,
20192622:58:00,@no1,request,音楽聞いてる,
20192622:59:00,@no1,response,音楽聞いてるですね。なぜですか？,
20192623:47:00,@no1,request,衝動,
20192623:47:00,@no1,response,衝動ですね。記録しました。,
20192630:21:00,@no1,request,init_data,
20192630:22:00,@no1,response,gas直す、qiita、に取り組んでいますか？,
20192630:31:00,@no1,request,違う,
20192630:32:00,@no1,response,ちがう、ですね。何をしていますか？,
20192631:10:00,@no1,request,init_data,
20192631:11:00,@no1,response,gas直す、qiita、に取り組んでいますか？,
20192632:01:00,@no1,request,はい,
20192632:02:00,@no2,response,はい、ですね。記録します,
20192632:03:00,@no2,request,はい,
20192632:03:00,@no2,response,えらい！,
20192632:13:00,@no1,request,init_data,
20192632:14:00,@no1,response,gas直す、qiita、に取り組んでいますか？,
20192632:23:00,@no1,request,違う,
20192632:23:00,@no1,response,ちがう、ですね。何をしていますか？,
20192632:33:00,@no1,request,水幽霊聞いてる,
20192632:34:00,@no1,response,水幽霊聞いてるですね。なぜですか？,
20192632:44:00,@no1,request,ガスの目処が付いたから,
20192632:45:00,@no1,response,ガスの目処が付いたからですね。記録しました。,
20192632:54:00,@no1,request,init_data,
20192632:55:00,@no1,response,gas直す、qiita、に取り組んでいますか？,
20192633:43:00,@no1,request,ループして,
20192633:43:00,@no1,response,うまくききとれませんでした,
20192633:44:00,@no1,request,ループして,
20192633:45:00,@no1,response,gas直す、qiita、に取り組んでいますか？,
20192298:34:00,@no1,request,init_data,
20192298:34:00,@no1,response,予定タイトルが見つかりませんでした。、に取り組んでいますか？,
20192298:46:00,@no1,request,違う,
20192298:47:00,@no1,response,ちがう、ですね。何をしていますか？,
20192298:56:00,@no1,request,カレンダー読み込んでる,
20192298:57:00,@no1,response,カレンダー読み込んでるですね。なぜですか？,
20192299:47:00,@no1,request,予定設定してなかったから,
20192299:47:00,@no1,response,予定設定してなかったからですね。記録しました。,
20192302:00:00,@no1,request,init_data,
20192302:00:00,@no1,response,炒飯、に取り組んでいますか？,
20192302:04:00,@no1,request,init_data,
20192302:04:00,@no1,response,炒飯、に取り組んでいますか？,
20192302:12:00,@no1,request,はい,
20192302:13:00,@no2,response,はい、ですね。記録します,
20192302:14:00,@no2,request,はい,
20192302:15:00,@no2,response,えらい！,
20192393:47:00,@no1,request,init_data,
20192393:48:00,@no1,response,gas、に取り組んでいますか？,
20192418:48:00,@no1,request,init_data,
20192418:49:00,@no1,response,gas、に取り組んでいますか？,
20192419:53:00,@no1,request,違う,
20192419:53:00,@no1,response,ちがう、ですね。何をしていますか？,
20192420:01:00,@no1,request,チャーハン,
20192420:02:00,@no1,response,チャーハンですね。なぜですか？,
20192420:10:00,@no1,request,時間押しちゃった,
20192420:11:00,@no1,response,時間押しちゃったですね。記録しました。,
20192443:51:00,@no1,request,init_data,
20192443:51:00,@no1,response,gas、に取り組んでいますか？,